Spp,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,S1,BWDth,PkDur
ANTPAL,32.032,84.83,3.6010000000000004,43.75,31.157,35.004,2.09,326.5,12.593000000000005,35.54568175506804
ANTPAL,28.955,61.99,6.087999999999999,48.466,27.932,30.731,4.213,208.94,20.534,21.222076215505915
ANTPAL,29.955,68.58,2.948,39.362,29.8,31.43,1.99,297.09,9.561999999999994,30.80054274084125
ANTPAL,32.315,92.0,4.292,54.628,31.916,35.201,2.918,547.76,22.712,27.912395153774465
EPTFUS,35.50199999999999,31.02,6.2879999999999985,46.429,34.205,37.141,3.196,332.2,12.223999999999995,33.69910941475828
EPTFUS,34.304,31.95,6.8279999999999985,46.609,32.89,35.96,3.518,318.64,13.718999999999996,31.795547744581143
EPTFUS,27.796,27.87,7.88,45.864,27.59,28.95,5.745,370.96,18.274,23.654822335025376
EPTFUS,28.546,25.32,7.907999999999999,36.971,27.427,29.453000000000007,5.0539999999999985,178.38,9.543999999999997,20.58674759736977
EPTFUS,30.476,26.3,8.103,44.008,28.745,31.434,5.051,227.99,15.263000000000002,22.732321362458343
EPTFUS,34.255,27.92,6.3679999999999986,44.083,33.217,35.465,3.838,302.38,10.866,26.146356783919593
EPTFUS,32.301,41.87,7.141,43.441,30.102,34.039,4.288,232.76,13.339000000000004,25.332586472482852
EPTFUS,28.227,27.63,7.77,38.84,27.646,29.678,4.503,208.26,11.194000000000004,32.998712998713
EPTFUS,30.845,35.52,7.3439999999999985,41.662,29.815,32.274,4.255,264.73,11.846999999999998,29.71132897603487
EPTFUS,34.797,33.78,6.042000000000002,44.94300000000001,33.791,36.417,3.17,293.06,11.152000000000006,36.42833498841443
EPTFUS,30.644,30.61,7.515,40.302,29.665,31.927,4.194,203.04,10.637,30.47238855622089
EPTFUS,28.12,42.2,4.586,41.692,27.909,29.017,3.438,329.72,13.782999999999998,21.19494112516354
EPTFUS,33.757,36.27,5.645,42.554,32.279,35.37,3.17,225.3,10.274999999999991,27.050487156775908
EPTFUS,29.466,20.83,7.358,37.8,28.829,30.489,4.36,103.24,8.970999999999998,30.606142973634142
EPTFUS,28.587,30.1,6.175,35.727,28.005,29.778,3.649,179.05,7.721999999999998,29.975708502024304
EPTFUS,27.415,19.87,8.738999999999999,40.501,27.084,28.208,5.877000000000002,247.52,13.416999999999998,23.629705916008696
EPTFUS,27.344,20.96,6.221,38.741,27.012,27.998,4.402,305.59,11.729000000000005,21.877511654074908
EPTFUS,29.404,39.45,7.002999999999999,39.673,28.658,30.862,4.08,223.64,11.015,30.91532200485507
EPTFUS,28.881,39.72,5.909,47.655,28.798,30.257,4.2,385.67,18.857,26.51886952106956
EPTFUS,28.506,51.5,8.462,41.341,26.056,30.51,4.574,201.43,15.285000000000005,28.71661545733869
EPTFUS,33.638000000000005,29.9,7.023,42.603,31.957,35.058,3.778,109.78,10.646000000000004,26.32778015093266
EPTFUS,30.34,45.48,5.837999999999999,46.269,29.743,31.692,4.113,402.45,16.525999999999996,23.07297019527235
EPTFUS,33.988,41.94,5.647,44.208,32.172,35.758,3.113,283.34,12.036,27.57216221002302
EPTFUS,27.862,28.45,6.005,37.437,27.556,28.802,3.853,250.01,9.881,28.442964196502913
EPTFUS,29.73,29.51,5.573,37.257,28.815,30.542,3.504,176.49,8.441999999999998,21.873317782164005
EPTFUS,33.298,40.56,6.33,44.035,31.72,34.829,3.619,258.69,12.314999999999998,25.781990521327025
EPTFUS,28.819000000000006,45.64,5.935,44.328,28.398000000000003,30.288,4.1,379.16,15.93,24.80202190395957
EPTFUS,27.134,22.95,8.331,35.293,26.095,28.145,5.044,101.52,9.198,24.246789100948273
EPTFUS,33.014,38.07,5.339,41.852,31.817,34.553000000000004,3.188,199.6,10.035,25.82880689267653
EPTFUS,36.77,36.75,5.573,47.93600000000001,35.014,38.359,3.1630000000000003,370.89,12.922000000000004,25.6773730486273
EPTFUS,27.132,22.78,7.665,44.76300000000001,26.894,27.902,5.37,320.94,17.869000000000003,24.42270058708416
EPTFUS,29.42,17.48,7.46,39.614,28.791,30.369,4.737,203.86,10.823000000000004,28.069705093833786
EPTFUS,28.679,28.24,7.231,37.079,27.61,29.754,4.425,175.6,9.469,23.50988798229844
EPTFUS,30.15,26.42,7.1,39.849,29.434,31.103,4.465,225.41,10.415000000000003,26.40845070422536
EPTFUS,35.684,23.85,6.593,45.313,35.196,37.125,3.712,296.73,10.117000000000004,34.3242833308054
EPTFUS,25.123,33.4,8.365,34.117,24.241,26.086,5.159,212.74,9.875999999999998,22.271368798565454
EPTFUS,28.05,31.26,7.867000000000001,37.855,26.783,29.136,5.065,192.32,11.071999999999996,23.554086691241878
EPTFUS,29.122,35.62,7.63,38.689,28.022,30.451,4.297,230.07,10.667000000000002,31.598951507208387
EPTFUS,25.244,30.16,8.56,33.299,24.566,26.304,5.3889999999999985,187.03,8.732999999999999,26.834112149532718
EPTFUS,33.361999999999995,31.07,5.175,40.356,32.363,34.714,2.96,200.25,7.993000000000002,26.589371980676336
