Spp,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,S1,BWDth,PkDur
Antpal,29.682143,2.901752,6.677325,51.913985,29.563483,35.484384,1.896671,-13.261031,22.350502,42.456971
Antpal,29.740707,4.233691,6.547622,62.085939,29.156824,37.478233,1.774427,-17.648151,32.929115,40.052484
Antpal,24.481353,2.50193,9.922187,49.176052,22.264376,31.07404,2.225043,-9.326721,26.911676,37.16316
Antpal,21.985593,2.041676,10.615288,47.155265,21.494085,29.988552,4.029702,-6.554913,25.66118,38.898737
Antpal,31.996077,3.709009,8.246364,61.109044,29.875009,40.815202,3.439792,-12.409399,31.234035,36.234372
Antpal,31.439858,4.619795,6.805367,67.482707,31.362989,40.8331,5.274996,-13.234556,36.119718,41.225083
Antpal,31.62444,3.701254,7.690254,59.869595,29.605497,40.778261,0.87958,-10.785814,30.264098,36.16579
Antpal,29.793474,3.58641,7.321823,59.811495,29.69455,40.613727,1.791958,-10.161271,30.116945,36.017145
Antpal,26.329179,4.970259,5.70257,57.086026,26.051086,37.121234,1.327106,-10.954256,31.034941,39.943244
Antpal,31.669286,7.552309,6.239924,66.487241,26.754988,41.236494,1.455268,-14.245105,39.732253,35.857407
Antpal,24.720832,7.681493,4.435365,62.413199,24.717203,38.233312,1.955996,-22.184624,37.695996,32.051827
Antpal,26.363678,8.456316,3.383948,57.5234,26.137165,39.490257,1.443334,-21.113499,31.386235,34.071716
Antpal,27.293084,4.14617,6.345112,56.630784,26.969238,37.580504,2.047555,-10.928929,29.661546,42.75583
Antpal,30.878116,4.570208,6.366774,57.480914,27.344646,39.525128,0.783952,-10.536792,30.136268,37.381153
Antpal,29.019654,4.164374,7.13443,55.358606,27.352729,38.079078,0.643655,-7.941437,28.005877,42.593109
Antpal,26.983598,3.828125,7.868768,59.089765,26.603228,37.779642,1.467037,-9.711101,32.486538,41.589445
Antpal,24.207402,3.184693,8.872747,50.568852,21.291341,28.823879,3.025311,-10.137035,29.277511,49.231698
Antpal,28.245329,4.328839,8.316597,58.162019,22.026635,40.641278,2.346287,-11.709296,36.135384,25.985814
Antpal,30.551097,5.221758,5.516019,62.5953,30.073579,44.153326,2.915757,-15.469814,32.52172,30.648704
Antpal,30.75515,4.975591,5.609375,62.86572,30.74949,44.133598,2.672466,-18.227856,32.11623,31.214603
Antpal,33.315956,12.155744,3.246819,69.949594,30.119389,45.96543,0.80287,-32.179889,39.830205,35.351944
Antpal,29.829717,10.419089,3.654068,71.563955,29.827996,47.223081,1.542417,-33.680905,41.735959,31.372469
Antpal,28.847782,6.130908,6.647739,70.88026,27.779922,43.031243,2.918884,-16.940682,43.100339,38.266971
Antpal,28.759164,6.434929,5.953493,70.994959,28.087071,42.47314,4.622281,-19.667827,42.907887,41.644021
Antpal,28.140707,7.3948,5.018034,65.506452,27.212484,42.422592,1.394321,-17.709976,38.293968,31.884019
Antpal,28.412497,12.316436,2.767163,63.328467,27.82684,41.608454,0.815728,-25.958194,35.501627,35.547593
Antpal,43.346405,9.731662,3.266909,73.071735,40.965205,53.268234,0.611114,-17.9461,32.106531,38.02068
Antpal,34.779535,8.325601,5.015199,66.451478,30.310364,46.102131,1.148854,-16.821683,36.141114,30.203059
Antpal,28.658404,6.130345,5.027977,59.374059,27.353614,41.342637,0.445357,-11.956001,32.020444,33.688866
Antpal,29.699165,5.300986,6.972915,71.992644,29.0518,44.586436,6.17018,-19.866688,42.940844,30.911339
Antpal,31.770364,10.828743,4.234804,81.319757,31.512199,52.702063,1.391064,-22.544139,49.807558,29.697008
Antpal,33.593724,11.400669,3.579663,72.568677,31.415189,47.690425,2.300858,-21.460345,41.153487,36.22944
Antpal,31.752839,6.750133,5.104138,68.872061,31.063332,49.222359,3.299425,-17.946037,37.808729,26.081071
Antpal,31.619985,7.794178,4.051619,67.781905,31.550095,48.404962,2.221237,-23.345083,36.23181,26.653201
Antpal,27.888684,6.774089,5.790879,68.39953,25.845057,42.17859,2.56898,-17.412608,42.554473,32.052215
Antpal,32.234515,8.747039,5.276502,73.351615,28.044865,46.171252,0.842406,-24.473419,45.30675,28.333032
Antpal,33.228535,10.416193,3.029615,59.733151,30.034537,44.548391,1.963762,-21.109298,29.698615,31.256135
Antpal,33.499058,10.339897,3.742763,67.104355,30.077121,46.607877,2.181342,-23.543872,37.027234,33.025149
Antpal,27.841171,4.755893,7.055105,59.418459,25.753281,38.390598,1.317845,-9.933747,33.665178,40.744193
Antpal,26.907928,4.811494,6.494392,60.303708,26.862719,38.8022,1.704367,-9.830792,33.440989,41.223821
Antpal,25.687127,2.698433,8.708936,51.496222,25.646807,35.508136,3.611777,-7.366703,25.849415,36.78681
Antpal,28.327371,5.92799,5.018367,59.366863,26.975844,40.223501,1.306779,-15.336164,32.39102,34.766255
Antpal,28.416864,5.505486,4.876313,57.366125,27.994096,40.167421,1.343106,-14.328948,29.372029,34.718813
Antpal,24.535745,3.948525,7.882605,56.363743,21.444854,45.330029,1.860084,-12.515158,34.918889,14.993156
Antpal,28.127298,4.984,6.87359,61.441862,25.782886,41.638728,1.953986,-11.847768,35.658976,30.997221
Antpal,31.511447,12.336077,2.776894,65.496655,29.568565,45.526107,0.464791,-29.056966,35.92809,29.708299
Antpal,37.052095,9.495357,3.027859,60.930858,33.166386,48.924699,1.103192,-19.544077,27.764473,25.42561
Antpal,33.469744,16.557789,1.995082,67.447319,32.764361,46.842783,1.439789,-43.157599,34.682959,35.344498
Antpal,33.134184,9.642403,4.361677,70.655993,29.795832,44.880001,2.40123,-20.688484,40.860161,36.44072
Antpal,32.817259,6.59541,5.534363,67.426507,30.528678,44.057098,0.676474,-15.915725,36.89783,37.109867
Antpal,32.756632,8.362068,3.36114,57.038123,29.990076,40.221354,0.128016,-20.783637,27.048047,34.796699
Antpal,31.594155,12.427484,2.701856,60.814322,28.122878,40.62795,0.518705,-33.040925,32.691444,33.150803
Antpal,31.271435,10.306432,3.765142,67.453776,29.553721,41.855874,0.600305,-24.988326,37.900055,39.291799
Antpal,28.785185,5.566582,5.977987,56.762312,26.018,36.397778,2.222974,-5.706867,30.744312,41.485953
Antpal,28.833605,4.15229,6.109806,54.474108,25.754174,37.176844,1.009212,-14.856316,28.719933,40.472586
Antpal,24.010963,3.213161,7.02263,44.902481,21.253509,32.681,2.08223,-6.7548,23.648972,34.236795
Antpal,32.025154,4.441406,5.985211,57.36345,29.056061,42.21721,2.557144,-11.34627,28.307389,29.809098
Antpal,27.594659,4.907054,5.027493,54.421835,27.105245,36.273487,2.03127,-14.073168,27.316591,38.514761
Antpal,36.814878,4.837912,6.786181,66.445199,32.750178,48.956616,2.531993,-12.565455,33.695021,24.623284
Antpal,29.000329,5.477663,5.200791,59.107548,28.996622,40.269232,1.852116,-17.464509,30.110926,32.488335
Antpal,32.388947,3.483906,4.258259,44.982744,30.086521,37.516228,1.11621,-6.445958,14.896223,31.27723
Antpal,29.037926,4.128367,6.819325,56.780708,27.164446,35.355218,3.073709,-9.904178,29.616262,43.723681
Antpal,28.671575,5.550597,5.468076,54.405452,24.964119,34.046234,0.967556,-16.889645,29.441333,36.26826
Antpal,27.240126,3.696843,6.857403,55.642541,26.084015,35.400465,3.174014,-12.648574,29.558526,38.292224
Antpal,31.231561,6.09169,5.723701,59.549738,27.50257,42.834206,1.313934,-10.876419,32.047168,27.974386
Antpal,29.198213,5.376894,4.99279,59.28086,27.822002,36.968785,1.505711,-22.724105,31.458857,38.002811
Antpal,30.843534,7.482587,4.708097,65.91306,29.919741,44.779305,0.97167,-18.028554,35.993319,33.249428
Antpal,25.28127,7.891586,4.780752,65.710371,25.194061,41.445029,1.683516,-19.03486,40.51631,36.202038
Antpal,35.025111,9.961914,4.491262,73.411198,30.586981,48.460567,1.514688,-26.726657,42.824218,29.137592
Antpal,30.960708,10.100847,3.626498,58.598469,26.296673,42.168328,0.623371,-17.97936,32.301796,27.279856
Antpal,26.298167,8.795028,4.998867,65.217749,23.238748,36.422469,1.01435,-17.665739,41.979002,41.980079
Antpal,29.343957,9.409568,3.664654,63.983429,28.679243,43.207627,1.165522,-18.294588,35.304186,32.790867
Antpal,32.893471,8.27583,4.117043,60.311297,28.511303,44.535806,0.390297,-16.617972,31.799994,28.284647
Antpal,33.08475,8.459127,4.352812,66.626247,29.094199,43.385021,0.718574,-19.240958,37.532047,37.643632
Antpal,31.68645,7.195682,5.074033,65.243327,29.35756,40.236655,1.17219,-16.701116,35.885767,43.440847
Antpal,30.996077,4.684421,6.163187,61.041628,29.636961,41.961131,1.3201,-10.3747,31.404667,37.203764
Antpal,28.593214,2.993037,11.033939,61.004294,27.159798,41.333434,1.748637,-7.489614,33.844496,29.468282
Antpal,29.001367,4.84247,7.939629,71.046322,28.98197,41.865346,1.521217,-11.518822,42.064352,38.930429
Antpal,30.154134,5.739672,5.490693,62.682533,29.335178,39.249995,0.980417,-10.815513,33.347355,47.311681
