IN FILE,AUTO ID*,PULSES,MATCH RATIO,MARGIN,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,Tc,S1,BWDth,PkDur,COMP ID,Result
NoID_20200716_212136.wav,ANTPAL,97.0,0.258,0.088132,32.032,84.83,3.6010000000000004,43.75,31.156999999999996,35.004,2.09,3.37,326.5,12.593000000000004,35.54568175506804,NoID,False
ANTPAL_20190607_204646.wav,ANTPAL,16.0,0.875,0.498225,28.955,61.99,6.087999999999999,48.466,27.932,30.730999999999998,4.213,5.505,208.94,20.534000000000002,21.222076215505915,ANTPAL,True
ANTPAL_20200716_211653.wav,ANTPAL,14.0,0.7140000000000001,0.512325,29.955,68.58,2.948,39.361999999999995,29.8,31.43,1.99,2.898,297.09,9.561999999999994,30.80054274084125,ANTPAL,True
ANTPAL_20190626_205037.wav,ANTPAL,9.0,0.444,0.224854,32.315,92.0,4.292,54.628,31.916,35.201,2.918,4.1160000000000005,547.76,22.712,27.912395153774472,ANTPAL,True
EPTFUS_20200301_191434.wav,EPTFUS,161.0,0.39799999999999996,0.114901,35.501999999999995,31.02,6.287999999999999,46.428999999999995,34.205,37.141,3.196,5.315,332.2,12.223999999999997,33.699109414758276,EPTFUS,True
EPTFUS_20200301_191417.wav,EPTFUS,170.0,0.359,0.12095,34.304,31.95,6.827999999999999,46.608999999999995,32.89,35.96,3.5180000000000002,5.689,318.64,13.718999999999994,31.79554774458114,EPTFUS,True
EPTFUS_20200716_210016.wav,EPTFUS,70.0,0.7859999999999999,0.47885900000000003,27.796,27.87,7.88,45.864,27.59,28.95,5.745,7.609,370.96,18.273999999999997,23.65482233502538,EPTFUS,True
NoID_20200301_193616.wav,EPTFUS,160.0,0.33799999999999997,0.149198,28.546,25.32,7.9079999999999995,36.971,27.427,29.453000000000003,5.053999999999999,6.682,178.38,9.543999999999997,20.58674759736977,NoID,False
NoID_20191009_184101.wav,EPTFUS,150.0,0.353,0.119953,30.476,26.3,8.103,44.008,28.745,31.434,5.051,6.893,227.99,15.263000000000002,22.732321362458343,NoID,False
EPTFUS_20200301_191309.wav,EPTFUS,158.0,0.31,0.111579,34.255,27.92,6.367999999999999,44.083,33.217,35.465,3.838,5.502999999999999,302.38,10.866,26.14635678391959,EPTFUS,True
EPTFUS_20200316_202432.wav,EPTFUS,155.0,0.31,0.13061199999999998,32.301,41.87,7.141,43.441,30.101999999999997,34.039,4.288,6.097,232.76,13.339000000000006,25.33258647248285,EPTFUS,True
EPTFUS_20190801_203724.wav,EPTFUS,102.0,0.461,0.25756,28.226999999999997,27.63,7.77,38.84,27.646,29.678,4.503,7.067,208.26,11.194000000000003,32.998712998713,EPTFUS,True
NoID_20200301_191326.wav,EPTFUS,157.0,0.299,0.11804100000000001,30.845,35.52,7.343999999999999,41.662,29.815,32.274,4.255,6.437,264.73,11.846999999999998,29.711328976034867,NoID,False
NoID_20200301_191452.wav,EPTFUS,147.0,0.299,0.09285399999999999,34.797,33.78,6.042000000000001,44.943000000000005,33.791,36.417,3.17,5.371,293.06,11.152000000000008,36.428334988414434,NoID,False
NoID_20191009_184615.wav,EPTFUS,148.0,0.284,0.10927100000000001,30.644000000000002,30.61,7.515,40.302,29.665,31.927,4.194,6.484,203.04,10.637,30.472388556220892,NoID,False
EPTFUS_20200716_212152.wav,EPTFUS,107.0,0.38299999999999995,0.313369,28.12,42.2,4.586,41.692,27.909000000000002,29.017,3.438,4.41,329.72,13.782999999999998,21.19494112516354,EPTFUS,True
NoID_20200301_193329.wav,EPTFUS,249.0,0.157,0.090159,33.757,36.27,5.645,42.553999999999995,32.279,35.37,3.17,4.697,225.3,10.274999999999991,27.050487156775908,NoID,False
NoID_20191009_185009.wav,EPTFUS,98.0,0.38799999999999996,0.17661400000000002,29.465999999999998,20.83,7.358,37.8,28.829,30.489,4.36,6.612,103.24,8.970999999999997,30.60614297363414,NoID,False
EPTFUS_20190801_203707.wav,EPTFUS,122.0,0.311,0.20465,28.587,30.1,6.175,35.727,28.005,29.778000000000002,3.6489999999999996,5.5,179.05,7.721999999999998,29.9757085020243,EPTFUS,True
EPTFUS_20200716_210000.wav,EPTFUS,78.0,0.474,0.277632,27.415,19.87,8.738999999999999,40.501,27.084,28.208000000000002,5.877000000000001,7.942,247.52,13.416999999999998,23.629705916008696,EPTFUS,True
EPTFUS_20200716_212053.wav,EPTFUS,52.0,0.6920000000000001,0.377809,27.344,20.96,6.221,38.741,27.011999999999997,27.998,4.402,5.763,305.59,11.729000000000003,21.877511654074905,EPTFUS,True
NoID_20191009_184907.wav,EPTFUS,100.0,0.36,0.138793,29.404,39.45,7.002999999999999,39.673,28.658,30.862,4.08,6.245,223.64,11.015,30.915322004855067,NoID,False
EPTFUS_20200716_211845.wav,EPTFUS,45.0,0.7559999999999999,0.405298,28.881,39.72,5.909,47.655,28.798000000000002,30.256999999999998,4.2,5.767,385.67,18.857,26.51886952106956,EPTFUS,True
TADBRA_20191009_183226.wav,EPTFUS,153.0,0.21600000000000003,0.109947,28.506,51.5,8.462,41.341,26.055999999999997,30.51,4.574,7.004,201.43,15.285000000000004,28.71661545733869,TADBRA,False
EPTFUS_20200301_193244.wav,EPTFUS,188.0,0.17600000000000002,0.096677,33.638000000000005,29.9,7.023,42.603,31.956999999999997,35.058,3.778,5.627000000000001,109.78,10.646000000000004,26.32778015093266,EPTFUS,True
EPTFUS_20200716_212038.wav,EPTFUS,71.0,0.451,0.213477,30.34,45.48,5.837999999999999,46.269,29.743000000000002,31.691999999999997,4.113,5.46,402.45,16.525999999999996,23.07297019527235,EPTFUS,True
NoID_20200301_193259.wav,EPTFUS,230.0,0.135,0.074449,33.988,41.94,5.647,44.208,32.172,35.758,3.113,4.67,283.34,12.036000000000001,27.57216221002302,NoID,False
EPTFUS_20200716_213027.wav,EPTFUS,65.0,0.462,0.326171,27.862,28.45,6.005,37.437,27.555999999999997,28.802,3.853,5.561,250.01,9.881,28.442964196502913,EPTFUS,True
EPTFUS_20200301_193123.wav,EPTFUS,140.0,0.214,0.10293900000000002,29.73,29.51,5.5729999999999995,37.257,28.815,30.541999999999998,3.5039999999999996,4.723,176.49,8.441999999999997,21.873317782164012,EPTFUS,True
TADBRA_20200301_193229.wav,EPTFUS,211.0,0.142,0.073752,33.298,40.56,6.33,44.035,31.72,34.829,3.6189999999999998,5.251,258.69,12.314999999999998,25.781990521327025,TADBRA,False
EPTFUS_20200716_211625.wav,EPTFUS,50.0,0.56,0.334932,28.819000000000003,45.64,5.935,44.328,28.398000000000003,30.288,4.1,5.572,379.16,15.93,24.80202190395957,EPTFUS,True
EPTFUS_20200309_230033.wav,EPTFUS,133.0,0.21100000000000002,0.14219600000000002,27.134,22.95,8.331,35.293,26.095,28.145,5.044,7.064,101.52,9.198,24.24678910094827,EPTFUS,True
EPTFUS_20200301_193344.wav,EPTFUS,203.0,0.138,0.09049700000000001,33.014,38.07,5.3389999999999995,41.852,31.816999999999997,34.553000000000004,3.188,4.567,199.6,10.035,25.828806892676532,EPTFUS,True
EPTFUS_20200301_193314.wav,EPTFUS,222.0,0.126,0.07028,36.77,36.75,5.5729999999999995,47.93600000000001,35.014,38.359,3.1630000000000003,4.593999999999999,370.89,12.922000000000004,25.6773730486273,EPTFUS,True
EPTFUS_20200716_212106.wav,EPTFUS,39.0,0.6920000000000001,0.45930200000000004,27.131999999999998,22.78,7.665,44.763000000000005,26.894000000000002,27.901999999999997,5.37,7.242000000000001,320.94,17.869000000000003,24.422700587084158,EPTFUS,True
NoID_20191009_184148.wav,EPTFUS,76.0,0.355,0.14870999999999998,29.42,17.48,7.46,39.614000000000004,28.791,30.369,4.737,6.831,203.86,10.823000000000004,28.069705093833786,NoID,False
NoID_20200128_185430.wav,EPTFUS,88.0,0.307,0.141762,28.679000000000002,28.24,7.231,37.079,27.61,29.754,4.425,6.125,175.6,9.469000000000001,23.50988798229844,NoID,False
NoID_20191009_184953.wav,EPTFUS,76.0,0.342,0.14001,30.15,26.42,7.1,39.849000000000004,29.434,31.103,4.465,6.34,225.41,10.415000000000003,26.408450704225356,NoID,False
EPTFUS_20191009_184804.wav,EPTFUS,108.0,0.24100000000000002,0.083276,35.684,23.85,6.593,45.313,35.196,37.125,3.7119999999999997,5.975,296.73,10.117000000000004,34.3242833308054,EPTFUS,True
LASCIN_20200427_211314.wav,EPTFUS,109.0,0.239,0.136849,25.123,33.4,8.365,34.117,24.241,26.086,5.159,7.022,212.74,9.875999999999998,22.271368798565454,LASCIN,False
NoID_20200301_193601.wav,EPTFUS,125.0,0.20800000000000002,0.10682799999999999,28.05,31.26,7.867000000000001,37.855,26.783,29.136,5.065,6.917999999999999,192.32,11.071999999999996,23.554086691241878,NoID,False
NoID_20191009_184219.wav,EPTFUS,91.0,0.275,0.106946,29.122,35.62,7.63,38.689,28.022,30.451,4.297,6.707999999999999,230.07,10.667000000000002,31.598951507208383,NoID,False
NoID_20200427_211330.wav,EPTFUS,112.0,0.214,0.16220299999999999,25.244,30.16,8.56,33.299,24.566,26.304000000000002,5.388999999999999,7.686,187.03,8.733,26.834112149532718,NoID,False
NoID_20200301_193359.wav,EPTFUS,143.0,0.168,0.08547300000000001,33.361999999999995,31.07,5.175,40.356,32.363,34.714,2.96,4.336,200.25,7.993000000000002,26.589371980676336,NoID,False
EPTFUS_20190922_192142.wav,EPTFUS,63.0,0.365,0.231016,29.03,20.06,7.103,38.866,28.232,29.686,4.677,6.117000000000001,210.35,10.634,20.273124032099133,EPTFUS,True
TADBRA_20200120_184154.wav,EPTFUS,109.0,0.21100000000000002,0.087061,29.275,67.82,4.849,37.483000000000004,26.822,31.197,2.311,3.8110000000000004,240.29,10.661000000000005,30.934213239843274,TADBRA,False
NoID_20200301_193631.wav,EPTFUS,119.0,0.193,0.12188900000000001,27.823,19.32,7.881,34.83,27.108,28.604,4.808,6.744,221.1,7.721999999999998,24.565410480903438,NoID,False
EPTFUS_20200316_202416.wav,EPTFUS,178.0,0.129,0.093289,34.855,41.33,6.545,44.365,33.266,36.564,3.8289999999999997,5.652,240.51,11.099000000000004,27.8533231474408,EPTFUS,True
EPTFUS_20200227_201127.wav,EPTFUS,106.0,0.20800000000000002,0.135177,28.551,22.28,6.153,35.113,27.758000000000003,29.108,3.9330000000000003,5.075,134.71,7.354999999999997,18.560052007150983,EPTFUS,True
EPTFUS_20200102_184920.wav,EPTFUS,65.0,0.32299999999999995,0.17740999999999998,27.92,18.73,6.164,34.144,27.168000000000003,28.447,4.216,5.343999999999999,137.14,6.9759999999999955,18.299805321219974,EPTFUS,True
EPTFUS_20200316_201619.wav,EPTFUS,65.0,0.32299999999999995,0.1502,28.77,39.45,5.524,37.083,28.254,30.074,3.5210000000000004,5.0169999999999995,223.46,8.828999999999997,27.08182476466327,EPTFUS,True
TADBRA_20191009_183211.wav,EPTFUS,91.0,0.231,0.10909,28.791,28.72,9.79,40.563,26.366999999999997,30.61,4.851,8.094,206.18,14.196000000000005,33.12563840653728,TADBRA,False
NoID_20200227_201112.wav,EPTFUS,132.0,0.159,0.095864,30.348000000000003,22.63,6.289,37.911,28.962,30.973000000000003,4.119,5.223,103.98,8.949000000000002,17.55446016854826,NoID,False
EPTFUS_20200102_184953.wav,EPTFUS,42.0,0.47600000000000003,0.32142600000000005,26.003,21.27,8.146,34.658,25.596999999999998,26.974,5.452000000000001,7.547999999999999,197.71,9.061000000000003,25.730419837957257,EPTFUS,True
EPTFUS_20190609_213227.wav,EPTFUS,121.0,0.165,0.134924,29.863000000000003,39.74,3.907,36.003,28.840999999999998,31.076,2.046,3.185,210.15,7.162000000000003,29.15280266188892,EPTFUS,True
EPTFUS_20190801_204037.wav,EPTFUS,87.0,0.218,0.188897,26.642,20.97,8.306000000000001,34.086999999999996,26.285,27.445999999999998,5.596,7.638,173.77,7.801999999999996,24.584637611365274,EPTFUS,True
EPTFUS_20200301_193430.wav,EPTFUS,177.0,0.107,0.083241,33.873000000000005,34.49,4.986000000000001,40.94,32.705,35.246,2.845,4.144,244.54,8.235,26.052948255114316,EPTFUS,True
EPTFUS_20190801_202929.wav,EPTFUS,79.0,0.228,0.186745,27.311,20.55,6.846,34.181999999999995,26.834,28.083000000000002,4.115,5.9479999999999995,200.89,7.347999999999995,26.77475898334793,EPTFUS,True
EPTFUS_20200427_211345.wav,EPTFUS,111.0,0.162,0.157608,25.386,49.98,7.3389999999999995,33.858000000000004,24.543000000000003,26.695,4.582,6.452000000000001,210.68,9.315000000000001,25.480310669028494,EPTFUS,True
EPTFUS_20200716_211945.wav,EPTFUS,55.0,0.309,0.198487,23.666,36.18,4.887,34.717,23.53,24.423000000000002,3.315,4.506,302.47,11.186999999999998,24.370779619398412,EPTFUS,True
NoID_20200323_201511.wav,EPTFUS,100.0,0.17,0.10614100000000001,33.046,39.46,4.771,41.153999999999996,31.499000000000002,34.51,2.4819999999999998,3.8510000000000004,170.14,9.654999999999994,28.69419408928947,NoID,False
EPTFUS_20200427_211258.wav,EPTFUS,119.0,0.14300000000000002,0.172718,26.766,20.39,7.751,33.244,25.921,27.434,4.921,6.5520000000000005,144.33,7.323,21.042446135982456,EPTFUS,True
TADBRA_20200301_193546.wav,EPTFUS,144.0,0.11800000000000001,0.088575,31.151999999999997,31.31,5.8839999999999995,38.328,30.148000000000003,32.233000000000004,3.3810000000000002,4.888999999999999,185.59,8.18,25.62882392929978,TADBRA,False
TADBRA_20200301_193531.wav,EPTFUS,166.0,0.102,0.076316,33.922,39.93,4.99,41.82899999999999,32.777,35.641,2.678,4.143,202.34,9.051999999999992,29.358717434869735,TADBRA,False
EPTFUS_20200102_184937.wav,EPTFUS,65.0,0.24600000000000002,0.199467,27.204,15.07,8.014,34.948,26.073,27.750999999999998,5.29,6.67,124.52,8.875,17.219865235837283,EPTFUS,True
EPTFUS_20200323_201645.wav,EPTFUS,74.0,0.21600000000000003,0.10644300000000001,35.641999999999996,50.85,4.622,43.961000000000006,33.308,37.463,2.358,3.6180000000000003,100.69,10.653000000000006,27.26092600605799,EPTFUS,True
NoID_20200301_193415.wav,EPTFUS,99.0,0.162,0.114035,29.588,39.87,6.0329999999999995,37.134,28.783,31.0,3.615,5.246,202.07,8.350999999999999,27.03464279794464,NoID,False
EPTFUS_20190801_204437.wav,EPTFUS,62.0,0.226,0.117422,29.265,30.82,6.204,37.283,28.601,30.433000000000003,3.498,5.401,208.49,8.682000000000002,30.673758865248224,EPTFUS,True
LASCIN_20200612_205502.wav,EPTFUS,71.0,0.19699999999999998,0.144725,25.693,30.5,6.922000000000001,31.206999999999997,24.840999999999998,26.723000000000003,3.533,5.603,119.59,6.366,29.90465183472984,LASCIN,False
EPTFUS_20200520_210420.wav,EPTFUS,75.0,0.187,0.129937,31.419,45.23,4.615,41.583999999999996,30.143,32.748000000000005,2.852,3.872,251.96,11.440999999999995,22.10184182015168,EPTFUS,True
LASCIN_20200128_183605.wav,EPTFUS,100.0,0.14,0.10520499999999999,25.033,70.45,6.466,34.899,23.581999999999997,27.2,3.2460000000000004,5.312,181.17,11.317000000000004,31.95174760284565,LASCIN,False
NoID_20200316_202058.wav,EPTFUS,90.0,0.14400000000000002,0.102872,27.596,44.63,7.626,36.548,25.134,29.263,3.918,5.997999999999999,197.54,11.414000000000001,27.27511146079202,NoID,False
NoID_20200629_210208.wav,EPTFUS,57.0,0.21100000000000002,0.162684,26.149,31.4,5.724,32.059,25.538,26.947,3.6510000000000002,4.987,150.46,6.520999999999997,23.340321453528997,NoID,False
TADBRA_20200227_193706.wav,EPTFUS,63.0,0.19,0.13075599999999998,26.776999999999997,26.11,4.875,31.391,26.191,27.35,3.077,4.157,72.88,5.199999999999999,22.153846153846153,TADBRA,False
EPTFUS_20200301_190629.wav,EPTFUS,63.0,0.19,0.10769100000000001,34.018,17.54,6.0,41.905,33.254,34.898,3.888,5.292000000000001,209.67,8.651000000000003,23.400000000000013,EPTFUS,True
EPTFUS_20190801_202945.wav,EPTFUS,73.0,0.16399999999999998,0.17792,27.225,22.89,7.954,36.114000000000004,26.853,28.174,5.127999999999999,7.332000000000001,221.36,9.261000000000003,27.709328639678173,EPTFUS,True
EPTFUS_20200102_185022.wav,EPTFUS,20.0,0.55,0.315738,26.701,32.66,7.667999999999999,37.702,26.021,27.508000000000003,5.547999999999999,6.82,342.66,11.680999999999997,16.58841940532083,EPTFUS,True
EPTFUS_20190801_203246.wav,EPTFUS,25.0,0.44,0.24787199999999998,27.881999999999998,27.48,6.94,36.133,27.605999999999998,28.678,4.914,6.502999999999999,196.83,8.527000000000005,22.896253602305467,EPTFUS,True
EPTFUS_20200227_201025.wav,EPTFUS,90.0,0.122,0.11830299999999999,27.921999999999997,23.84,5.496,33.23,27.113000000000003,28.584,3.5069999999999997,4.562,102.77,6.116999999999994,19.1957787481805,EPTFUS,True
EPTFUS_20200913_200106.wav,EPTFUS,21.0,0.47600000000000003,0.31606799999999996,27.675,20.9,8.984,39.509,26.818,29.016,5.555,8.243,201.42,12.690999999999999,29.919857524487988,EPTFUS,True
EPTFUS_20191020_184831.wav,EPTFUS,34.0,0.294,0.156579,29.878,27.69,6.581,37.367,28.98,30.691,4.25,5.631,105.22,8.386999999999997,20.984652788330045,EPTFUS,True
EPTFUS_20200716_213043.wav,EPTFUS,19.0,0.474,0.26503699999999997,27.604,37.94,5.394,36.897,27.362,28.888,3.327,5.141,269.4,9.535,33.62995921394142,EPTFUS,True
EPTFUS_20190801_210050.wav,EPTFUS,43.0,0.209,0.217173,25.595,16.55,8.4,32.559,24.949,26.320999999999998,5.535,7.379,158.35,7.609999999999996,21.952380952380945,EPTFUS,True
NoID_20191009_182951.wav,EPTFUS,44.0,0.205,0.21759499999999998,26.094,21.1,8.229,31.804000000000002,25.022,27.114,3.978,6.365,155.96,6.782000000000004,29.00716976546361,NoID,False
NoID_20200301_191519.wav,EPTFUS,74.0,0.122,0.181279,26.065,18.13,7.5920000000000005,32.093,25.038,26.903000000000002,3.969,6.16,97.83,7.055000000000003,28.85932560590095,NoID,False
EPTFUS_20200301_190612.wav,EPTFUS,31.0,0.258,0.124973,30.871,15.62,4.861000000000001,35.802,30.444000000000003,31.642,2.772,4.191,167.45,5.357999999999997,29.191524377700055,EPTFUS,True
EPTFUS_20200216_205501.wav,EPTFUS,37.0,0.21600000000000003,0.178901,26.546999999999997,26.82,5.013999999999999,32.97,25.983,27.155,3.161,4.197,164.55,6.986999999999998,20.662145991224577,EPTFUS,True
NoID_20191214_182709.wav,EPTFUS,41.0,0.195,0.11087799999999999,26.892,43.44,4.925,34.57,25.636,27.881,2.569,3.93,139.33,8.934000000000001,27.634517766497467,NoID,False
EPTFUS_20200309_225127.wav,EPTFUS,45.0,0.17800000000000002,0.110071,28.645,53.01,6.257999999999999,37.563,27.634,30.633000000000003,3.4360000000000004,5.471,140.4,9.929000000000002,32.518376478108024,EPTFUS,True
EPTFUS_20200716_205947.wav,EPTFUS,21.0,0.33299999999999996,0.23306300000000002,27.769000000000002,30.59,5.553999999999999,33.796,27.346999999999998,28.596999999999998,3.63,4.9719999999999995,191.47,6.449000000000002,24.16276557436082,EPTFUS,True
LASCIN_20200427_202846.wav,EPTFUS,23.0,0.304,0.228652,25.224,19.27,8.92,30.936999999999998,24.761,25.968000000000004,5.63,7.58,92.13,6.175999999999998,21.860986547085204,LASCIN,False
EPTFUS_20200130_184637.wav,EPTFUS,34.0,0.20600000000000002,0.220568,26.726,14.99,6.138999999999999,31.334,25.717,27.505,2.84,4.827,188.07,5.617000000000001,32.36683498941196,EPTFUS,True
EPTFUS_20200102_190801.wav,EPTFUS,53.0,0.132,0.214191,25.929000000000002,16.85,7.041,31.430999999999997,25.349,26.425,4.802,6.132999999999999,114.53,6.081999999999997,18.90356483454054,EPTFUS,True
EPTFUS_20200102_185124.wav,EPTFUS,75.0,0.09300000000000001,0.15423499999999998,26.765,23.26,7.32,32.82,26.031,27.46,4.718999999999999,6.235,85.71,6.7890000000000015,20.710382513661212,EPTFUS,True
EPTFUS_20200716_212820.wav,EPTFUS,8.0,0.75,0.421464,27.738000000000003,25.15,7.9479999999999995,37.579,27.57,28.749000000000002,5.171,7.355,281.37,10.009,27.478610971313543,EPTFUS,True
EPTFUS_20200716_212208.wav,EPTFUS,29.0,0.207,0.323389,27.516,53.75,4.541,41.701,27.459,28.76,3.3089999999999997,4.436,375.26,14.242,24.81832195551641,EPTFUS,True
